sat_id,epoch,mean_motion,eccentricity,inclination,raan,arg_perigee,mean_anomaly,operator_name
SAT001,2025-12-01T10:00:00Z,14.50,0.0025,98.5,45.2,120.5,200.3,SpaceX
SAT001,2025-12-02T10:00:00Z,14.51,0.0024,98.5,45.3,120.6,200.1,SpaceX
SAT001,2025-12-03T10:00:00Z,14.52,0.0023,98.5,45.4,120.7,200.5,SpaceX
SAT001,2025-12-04T10:00:00Z,14.70,0.0022,98.5,45.5,120.8,200.2,SpaceX
SAT001,2025-12-05T10:00:00Z,14.71,0.0021,98.5,45.6,120.9,200.4,SpaceX
SAT002,2025-12-01T10:30:00Z,13.20,0.0015,97.8,120.5,85.2,150.8,Iridium
SAT002,2025-12-02T10:30:00Z,13.21,0.0015,97.8,120.6,85.3,151.2,Iridium
SAT002,2025-12-03T10:30:00Z,13.22,0.0014,97.8,120.7,85.4,151.0,Iridium
SAT003,2025-12-01T14:15:00Z,15.10,0.0008,99.2,200.3,45.5,320.1,OneWeb
SAT003,2025-12-02T14:15:00Z,15.11,0.0008,99.2,200.4,45.6,320.5,OneWeb
SAT003,2025-12-03T14:15:00Z,15.12,0.0008,99.2,200.5,45.7,320.2,OneWeb
